Name,Hiring Date,Department,Birthday
Jeanette Delgado,2005-09-15,Arts development officer,1957-08-24
Gary Mcdowell,2006-02-18,Fish farm manager,1930-11-13
Hannah Swanson,1992-11-15,Artist,2018-05-26
Nancy Palmer,1987-05-13,Banker,1972-03-17
Christian Mullen,1999-12-19,"Teacher, adult education",2015-07-21
Deborah Cruz,1985-03-20,Counselling psychologist,1942-05-15
Miranda Jarvis,1999-02-21,Environmental consultant,1990-01-27
Chelsea Gilmore,1998-01-06,"Psychologist, educational",1943-10-28
Samantha Phillips,1965-01-05,Photographer,1979-10-14
Angelica Gaines,1973-09-24,"Scientist, research (maths)",1989-08-19
Robert Williams,1984-08-03,Information systems manager,1953-11-09
Elizabeth Crane,1971-04-07,Furniture designer,1956-06-07
Kelsey Harrison,1973-07-06,"Psychologist, sport and exercise",1911-03-10
Victor Roberts,2007-03-05,Clinical psychologist,1998-11-25
Joshua Taylor,1971-10-30,Race relations officer,2013-10-06
Jordan Brown,1961-12-23,"Pilot, airline",1916-07-20
John Osborne,2003-06-04,Occupational therapist,1988-08-11
Erin Beasley,1983-08-01,Stage manager,1983-03-03
Christine White,1963-07-31,Gaffer,2013-11-21
Monique Aguilar,2000-02-01,Tax inspector,1967-12-22
Ashley Garcia,1993-12-13,Theatre stage manager,2003-06-29
Kenneth Reed,1987-08-27,Database administrator,1989-02-14
Sean Smith,1980-02-16,Newspaper journalist,1994-02-19
Joseph Faulkner,1989-07-19,Careers information officer,1972-05-10
Barbara Rodriguez,1965-01-04,Medical secretary,1912-03-23
Charles Phillips,2004-02-11,Web designer,1985-11-04
Michael Johnson DVM,2002-12-27,Charity fundraiser,2009-01-11
Charles Welch,1970-05-19,Learning mentor,2022-05-30
Kelly Butler,1962-01-04,Media buyer,1978-07-01
Anthony Williams,1985-03-11,Forensic psychologist,1990-06-28
Phillip Cline,2002-12-01,Land/geomatics surveyor,1992-03-11
Lauren Keller,1999-12-09,"Development worker, community",1923-02-05
Lisa Hall,1961-12-15,"Research officer, trade union",1982-01-08
Andrea Edwards,2001-01-07,Building services engineer,1979-02-14
